Q31	country in western Europe
Q155730	German association football club
Q156418	historical kingdom on Hawaiian Islands
Q156593	city of regional significance, the administrative center of the Sambir district, Lviv region of Ukraine
Q156607	political party
Q156649	1871-1919 maritime warfare branch of the German Empire's military
Q156719	city in Dnipropetrovsk Oblast, Ukraine
Q157020	association football club in Germany
Q157205	former British airline; absorbed into British Airways
Q157537	Catholic political party in Germany
Q157906	American cable television channel
Q158106	borough of Berlin, Germany
Q158589	town in central Poland
Q158869	American animated television series from 2003-2009, mainly set in New York City
Q158948	public broadcaster for the federal states of Thuringia, Saxony and Saxony-Anhalt
Q159102	university in Brazil
Q159661	independent charity
Q159729	American professional basketball team
Q159884	stadium in Rome, Italy
Q159909	German literary award
Q160139	Nazi concentration camp in Austria (1938–1945)
Q160173	city in Bulgaria
Q160175	Nazi concentration camp in Terezín, Czechoslovakia
Q160408	Nazi forced labour and concentration camp in Cracow, Poland (1940-1944)
Q160420	prefecture of Japan
Q160636	river originating in Colorado, flowing south through New Mexico, and forming part of the US-Mexico border along Texas until emptying into the Gulf of Mexico
Q160927	French commune in Loir-et-Cher, Centre-Val de Loire
Q161562	private research university located in Pasadena, California
Q161984	town and administrative center of Fastiv District of Kyiv Oblast in central Ukraine
Q162031	association football league
Q162279	city in the region of Northern Savonia in Finland
Q162586	American progressive metal band
Q162615	port city in southeast Spain
Q162665	rebellion in the Byzantine empire
Q162684	university hospital in Berlin, Germany
Q163490	city in Lebanon
Q163547	men's national football team representing the Republic of Ireland
Q163580	German engineering company based in Kassel
Q163708	holiday observed in several former republics of the Soviet Union
Q163948	one of the 20 administrative districts of Paris, France
Q164785	chemical compound
Q165015	municipality in Germany
Q165131	municipality of Germany
Q165134	municipality of Germany
Q165352	Province of Iran
Q166017	season of television series
Q166025	season of television series
Q166105	American professional basketball team
Q166183	city in Mie Prefecture, Japan
Q166226	2013 video game developed by Quantic Dream
Q166788	winter sport that combines cross-country skiing and rifle sports shooting
Q166824	city in Turkey
Q167394	city in Serbia
Q167878	organization in China
Q168197	city in Turkey
Q168261	Macedonian general, ruler of Egypt
Q168397	national association football team
Q168751	private university in Durham, North Carolina, United States
Q169247	city in Bosnia and Herzegovina
Q169293	one of the 20 administrative districts of Paris, France
Q169478	numerical computing environment
Q169514	Swedish language edition of Wikipedia
Q170072	predecessor state of the Netherlands (1581–1795)
Q170152	art museum in Munich
Q170157	association football club in Germany
Q170416	Dutch multinational electronics company
Q170421	city in Kyoto Prefecture, Japan
Q170462	Malaysian state
Q170547	Christian saint, monk, and hermit
Q170573	city in Qom Province, Iran
Q170610	skyscraper in  São Paulo, Brazil
Q170614	Irish low-cost airline
Q170617	mammalian protein found in human, mouse, and rat
Q171150	former Central European monarchy (1000–1946)
Q171219	city in Vorarlberg, Austria
Q171313	motorsport venue in Italy
Q171417	Race Track
Q171503	currency of Eritrea
Q171714	capital city of Kerman Province, Iran
Q172267	city and district of Turkey
Q172339	American professional basketball team
Q172415	city in Georgia
Q172725	person from Greek Mythology
Q172840	American physicist
Q172876	motorsport track in France
Q173017	river in southern Africa
Q173219	city in Hainaut, Belgium
Q173332	county in Ireland
Q173699	city and municipal capital in Portugal
Q173959	oldest university in Arab world, established during Fatmid Caliphate
Q174019	commune in Hérault, France
Q174247	commune in Saône-et-Loire, France
Q174274	film museum and cinematheque in Paris, France
Q174665	city in Romania
Q174684	city in Bosnia and Herzegovina
Q175618	municipality of Germany
Q175688	national park located in South Carolina
Q175764	association football club in Umeå, Sweden
Q176296	Parliament of Ukraine
Q176883	19th FIFA World Cup, held in South Africa in 2010
Q177128	military decoration of the Soviet Union
Q177875	currency of North Macedonia
Q178017	Higher education institution in Gunma Prefecture, Japan
Q179075	professional association football club based in Kyiv, Ukraine
Q179180	municipality in Halland County, Sweden
Q179385	town in south-east London, England
Q179437	county in Ireland
Q179767	Japanese rock band
Q180294	southern and oldest part of Tel Aviv
Q180419	British publisher
Q180855	Dutch beer company
Q180901	building in Brussels, Belgium
Q180921	city in Sudan
Q181018	county of Hungary
Q181157	North America volcano exploto
Q181475	major river of southern Africa
Q181932	lake in Armenia
Q181969	bay in China
Q182059	second largest city of Ghana
Q182299	town in Crete, Greece
Q182436	person who works professionally in a library, and is usually trained in librarianship
Q182508	NASA Space Shuttle orbiter
Q182625	city in Essex County, Ontario, Canada
Q183048	American rock band
Q183239	2008 film by David Fincher
Q183334	art museum in Moscow, Russia
Q183480	online platform for targeted advertisements
Q184090	city and the administrative centre of Lancashire, England
Q184217	American alternative rock band
Q184253	science award
Q184403	Brazilian municipality in the state of São Paulo
Q184618	county in Ireland
Q184775	county town of Suffolk, England
Q184782	chemical compound
Q184816	2000 video game
Q185134	city in Algeria
Q185458	capital of Balochistan Province, Pakistan
Q186230	municipality in Norrbotten County, Sweden
Q186276	men's national association football team representing Lithuania
Q186466	region of Kazakhstan
Q186614	international airport serving Moscow, Russia
Q186794	official currency of Botswana
Q188002	commune of Chile
Q188277	brazilian football club
Q188656	association football club in Serbia
Q188782	men's national association football team representing Malta
Q188810	one of the seven emirates of the United Arab Emirates
Q188894	city in Turkey
Q189128	Largest city in Guanajuato, Mexico
Q189266	1941-1945 World War II theater
Q189427	musical
Q189761	city in Hungary and the capital of Tolna county
Q190118	commune in Vendée, France
Q190184	city in the east of Ethiopia
Q190235	city in Horsens Municipality, Denmark
Q190464	British multinational financial services holding company
Q190561	Belgian association football club
Q190583	city in the region of Southern Savonia in Finland
Q190585	British international record label of Jamaican origin; imprint of Island Records Ltd.
Q190875	steroid hormone, in the glucocorticoid class of hormones; when used as a medication, it is known as hydrocortisone
Q191133	city and civil parish in Ourém, Portugal
Q191415	commune in Hauts-de-Seine, France
Q191472	flagship television channel of the BBC
Q191551	British low-cost airline
Q192235	City and Departmental capital of Alto Paraná, Paraguay
Q192253	association football club in Slovakia
Q192314	American multinational banking and financial services holding company
Q192334	public research university in Chapel Hill, North Carolina, United States
Q192621	broadsheet British daily newspaper
Q192873	association football club in Dundee, Scotland
Q193021	municipality of Brazil
Q193180	city in the region of Kainuu in Finland
Q193190	city in Cyprus
Q193229	city in central Bosnia and Herzegovina
Q193241	town in Bulgaria
Q193409	city in Peloponnese, Greece
Q193428	second largest and populated city in Osaka Prefecture, Japan
Q193443	city in Bashkortostan, Russia
Q193538	NASA Mars rover
Q193639	concert hall in South Kensington, London
Q193965	city in western Ukraine
Q193993	major battle of the American Civil War
Q194683	political party
Q194726	2011 Japanese animated film directed by Gorō Miyazaki
Q195140	municipality of the Philippines in the province of Negros Oriental
Q196160	association football club in Belgium
Q196221	Ecuadorean domestic airline
Q197833	Supertall skyscraper in Beijing, China
Q197864	political party
Q198092	2002 fighting video game
Q198266	prefecture-level city in Hunan, China
Q198419	city in Moscow Oblast, Russia
Q199479	sea within the Pacific Ocean
Q199797	county seat of Pierce County, Washington, United States
Q200019	city in the Indian state of Rajasthan
Q200036	coastal port city in Thessaly, Greece
Q200235	city in western India in the state of Maharashtra
Q200262	medieval kingdom that occupied lands on either side of the western Pyrenees, alongside the Atlantic Ocean
Q200267	city in Kanagawa Prefecture, Japan
Q200321	Dutch association football team
Q200459	municipality and city in Portugal
Q200578	city in Kanagawa Prefecture, Japan
Q200589	capital city of Tochigi Prefecture, Japan
Q200718	human settlement
Q200753	currency
Q200790	war between France and the Algerian independence movement from 1954 to 1962
Q201051	city in Israel
Q201114	town and civil parish in Shropshire, England
Q201117	city in Aichi Prefecture, Japan
Q201125	city in Serbia, 2nd county seat of Torontál County
Q201325	Israeli University in Ariel, Israel
Q201516	city in Miami-Dade County, Florida, United States
Q201914	volcano in Iceland
Q202139	City in West Bengal, India
Q202160	town located in central Poland
Q202195	city in Turkey
Q202357	city in Gorj County, Romania
Q202440	American record label
Q202894	NASA space program
Q202973	city in Ontario, Canada
Q203312	municipality in the Brussels-Capital Region, Belgium
Q203976	association football club
Q204204	women's national association football team representing England
Q204266	city in Toyama Prefecture, Japan
Q204268	flag air carrier of Poland and Star Alliance member
Q204412	island and municipality in Friesland, the Netherlands
Q204475	city in Serbia
Q204709	municipality in the Netherlands
Q204737	currency of Cambodia
Q205061	Higher education institution in Yamanashi Prefecture, Japan
Q205690	borough in west London, England
Q205875	play by Molière
Q205922	prefecture-level city in Heilongjiang, China
Q205942	city in Turkey
Q206885	city in Turkey
Q206954	city in northern Greece, Western Macedonia
Q206988	town in Gloucestershire, England
Q207028	opera house in Saint Petersburg, Russia
Q207309	city in Tokushima Prefecture, Japan
Q207312	currency
Q207318	series of major conflicts fought between the French Republic and several European monarchies from 1792 to 1802
Q207375	American medical drama television series (1994-2009)
Q207408	town in Hungary
Q207466	chemical compound
Q207470	city
Q207521	empire in East Africa (1270–1974)
Q207679	council area of Scotland
Q207708	American video game and entertainment media website
Q207854	communist organization labeled as a terrorist group in Peru
Q207876	city in Japan, capital of Yamaguchi prefecture
Q207885	1994 video game
Q207936	state-controlled broadcaster of the People's Republic of China
Q207972	city and municipality in Mexico
Q208039	currency
Q208131	2010 film directed by Mike Mitchell
Q208226	commune in Finistère, France
Q208242	European political party
Q208293	city in the region of Uusimaa in Finland
Q208399	association football club in Furiani, France
Q208403	city in Greece
Q208552	association football club in Molde, Norway
Q208793	commune in Pas-de-Calais, France
Q208794	commune in Meurthe-et-Moselle, France
Q209009	City in Kakheti region, Georgia
Q209021	commune in Calvados, France
Q209176	cathedral city in Cambridgeshire, England
Q209344	Italian university founded in Rome in 1303
Q209546	political party in the Basque Country
Q209651	recording studio in London, England
Q209683	city in Aichi Prefecture, Japan
Q209831	formation of the French Army (1943-1999)
Q209983	town in Hungary
Q210057	American computer services company
Q210108	global partnership of conservation organisations that strives to conserve birds
Q210252	active volcano located on the peninsula of Kamchatka in Russia
Q210257	American television series (1985-1992)
Q210431	Polish left-wing political party
Q210559	International airport serving Oslo, Norway
Q210864	football team in Le Mans, France
Q211165	airline in South Korea
Q211183	Japanese anime television series
Q211265	London Underground line
Q211572	city in Hainaut, Belgium
Q211590	city in Villa Clara province, Cuba
Q212304	flag-carrier airline of the United Arab Emirates
Q212459	cultural heritage monument in Lisboa, Portugal
Q212704	special ward of Tokyo, Japan
Q212834	skyscraper in London, England
Q212965	2012 film by Gary Ross
Q213322	museum in London, England
Q213417	Baseball team and Major League Baseball franchise in the Bronx, New York, United States
Q213464	special ward in Tokyo Metropolis, Japan
Q213465	county town of Surrey in England
Q213678	library of the Holy See
Q213717	airport in Chicago, Illinois, United States
Q213883	commune in Aisne, France
Q214374	association football club
Q215350	former Italian political party (1994–2009)
Q215374	municipality in Vestland, Norway
Q215392	airline from Norway
Q215583	ethnic group indigenous to Mali
Q215617	1959 American animated musical fantasy film produced by Walt Disney
Q215622	election of members to the House of Commons in 2010
Q215723	city in Ialomița County, Romania
Q216108	second television channel operated by the BBC
Q216430	municipality in Trøndelag, Norway
Q216966	commune in Gard, France
Q217039	town in South Yorkshire, England
Q217234	special ward of Tokyo, Japan
Q217346	city in New York, USA
Q217799	parliament of Estonia
Q218691	municipality in Switzerland
Q218805	railway line in Norway
Q219595	city of Ukraine
Q219692	legislature of Spain
Q219795	2006 video game
Q220144	University in the UK
Q220674	Web API in the form of an object, provided by the user agent, whose methods transfer data between a user agent and a web server, often for continually modifying a loaded web
Q220780	1980 film diredvted by Martin Scorsese
Q220847	political party
Q221316	40th season of the Bundesliga
Q221426	national association football team
Q221480	political party in Slovakia, established 1989
Q221806	opera by Pietro Mascagni
Q221840	municipality of Germany
Q221882	Argentinian sports club
Q221921	city in Chubut, Argentina
Q222760	South Korean boy group
Q222837	association football club in France
Q222877	association football club in Finland
Q222929	fictional space station in Star Trek
Q223416	international airport serving Paris, France
Q223511	National Football League franchise in Cincinnati, Ohio
Q223527	Professional American football team based in Cleveland, Ohio.
Q223942	opera house in Venice, Italy
Q225521	former municipality in the Netherlands
Q226941	city in East Flanders, Belgium
Q228389	official external broadcast institution of the United States federal government
Q231554	commune in Bouches-du-Rhône, France
Q231645	special ward of Tokyo, Japan
Q232595	Japanese political party
Q233199	defunct second level of men's association football in Belgium
Q233358	nonprofit open-access publisher
Q233892	county seat of Winnebago County, Illinois, United States
Q233940	skyscraper in Manhattan, New York, United States of America
Q234061	county seat of Erie County, Pennsylvania, United States
Q234178	City in Wales
Q234680	province of Mongolia
Q234728	commune in Hauts-de-Seine, France
Q235034	state-related research university located in Pittsburgh, Pennsylvania, United States
Q235753	city in Tochigi Prefecture, Japan
Q236197	city in Tokyo, Japan
Q236728	2008 Japanese animated film directed by Hayao Miyazaki
Q237896	county seat of Berks County, Pennsylvania, United States
Q238095	British independent record label
Q239107	Egyptian city, located on the west bank of the Nile River
Q239405	national association football team
Q239539	political party
Q239663	association football club in Bosnia and Herzegovina
Q239925	Byzantine Slavic brothers
Q240390	british intelligence agency
Q240444	association football club in Russia
Q240463	province in southern Thailand
Q240656	flag-carrier airline of Romania
Q241214	currency of Macau
Q241748	1882-1918 kingdom in Southeastern Europe
Q241821	military decoration of the Soviet Union
Q241898	city in Limburg, Belgium
Q242108	city in Hokkaido, Japan
Q242533	Italian comune
Q243235	association football club in Coimbra, Portugal
Q244004	municipality of Algeria
Q244146	county seat of Pinellas County, Florida, United States
Q244276	football tournament
Q244327	municipality in South Holland, the Netherlands
Q244374	national association football team
Q244448	1941 film by John Ford
Q244486	commune in Gard, France
Q244504	People from Catalonia, Spain
Q244762	ancient Sumerian and Amorite city
Q244819	currency of Colombia
Q245162	association football club in Bucharest, Romania
Q245966	Portuguese national library, fulfilling the function of legal deposit and copyright
Q246634	municipality in the Czech Republic
Q246952	airline from the Netherlands
Q247531	"Silver Tower", skyscraper in Frankfurt, Germany
Q248789	association football club
Q248873	diocese of the Catholic Church in the Philippines
Q249591	dominant railway operator in Poland
Q249884	commune in La Réunion, France
Q251266	publisher
Q252466	town in Germany
Q253284	municipality of Germany
Q253414	international governing body of association football
Q253439	Society of scientists and institute
Q253741	quarter of Vienna
Q254119	railway line
Q254156	part of the Neues Museum, collection of Ancient Egyptian artifacts
Q254165	municipality in Austria
Q254221	municipality in Austria
Q255032	literary award for science fiction or fantasy novels in English
Q257816	video game
Q257830	county seat of Collier County, Florida, United States
Q258382	diocese of the Catholic Church
Q258908	church in Austria
Q259490	Byzantine catholic archeparchy in Prešov in full union with Rome founded in 1818
Q259497	city in Lesser Poland Voivodeship, Poland
Q259800	Social Democratic party in Cyprus
Q260913	museum in Utrecht, Netherlands
Q262003	programming language
Q262205	diocese of the Catholic Church
Q264456	Integrated development environment software for software development
Q264980	record label
Q267248	opera house in Leipzig, Germany
Q267282	American film production and distribution company
Q267708	town in Mureș County, Romania
Q267888	town in Slovakia
Q268670	arts prize
Q268873	city in Orange County, California, United States
Q269174	municipality of Germany
Q269442	volcanic events in Iceland
Q269634	city in Tokyo, Japan
Q270912	city in Ōsaka Prefecture, Japan
Q271333	municipality of Brazil
Q271783	city in Antwerp, Belgium
Q271880	American football team in the National Football League
Q272093	city in Kurdistan Province, Iran
Q272220	National Football League franchise in Carson, California
Q272243	municipality in the Brussels-Capital Region, Belgium
Q272471	capital of the Cuban province of Matanzas
Q272629	type of instruction set which is a 64-bit version of the x86 instruction set
Q272781	building in Santa Maria de Belém, Lisbon District, Portugal
Q273171	English progressive rock band
Q273462	international airport serving Moscow, Russia
Q273568	2007 biographic comedy movie on Charlie Wilson and Afghanistan directed by Mike Nichols
Q273619	University in Montréal
Q273880	city in Ōita Prefecture, Japan
Q274120	city located in the province of Ontario, Canada
Q274916	skyscraper in Manhattan, New York, United States of America
Q275612	sports club in Hungary
Q275626	association football club in Greece
Q275863	city in Limburg, Belgium
Q276528	2006 American dramedy television series
Q276539	National Football League franchise in Baltimore, Maryland
Q277879	a political party in Hungary
Q278044	university focusing on business and economics in Vienna, Austria
Q278471	diocese of the Catholic Church
Q279446	2011 first-person puzzle-platform video game
Q279724	university in Norway
Q279818	sports club based in Kraków
Q281243	video games news and reviews website
Q281986	political party in Serbia
Q282909	airport
Q283790	defunct British airline based in Exeter, England
Q284077	association football club in Serbia
Q284454	centrist political party in Pakistan
Q285199	diocese of the Catholic Church in the Philippines
Q285879	German town on the Rhine, home of the Mäuseturm
Q286191	association football club
Q286207	diocese of the Catholic Church
Q286569	Japanese anime television series
Q287617	Entertainment media and conglomerate in the Philippines
Q289482	association football club
Q290456	university in Osaka Prefecture, Japan
Q291169	former Leader of the British Labour Party, MP for Islington North
Q291796	airline headquartered in China
Q296050	football club in Greece
Q297929	association football club
Q298333	association football club in Italy
Q298702	television station
Q302210	political party
Q302556	English-language encyclopedia
Q302745	municipality in Austria
Q303366	municipality in Navarre, Spain
Q304146	Latvian association football club, based in the city of Liepāja
Q304258	2005 real-time strategy video game
Q304438	international airport in Baghdad, Iraq
Q305640	city in Hokkaido, Japan
Q306306	currency
Q308907	The Soviet Union's equivalent to the Nobel Peace Prize
Q309948	university in Germany
Q309996	Japanese corporation; video game developer and publisher
Q310467	species of bacterium
Q311543	town in Brandenburg state, Germany
Q312429	association football club from Ayia Napa F.C.
Q314305	private university in Witten, North Rhine-Westphalia, Germany
Q314536	university in Trondheim, Norway
Q315954	sea in the Pacific Ocean
Q317145	human settlement
Q317834	city in Tokyo, Japan
Q317844	city in Aichi Prefecture, Japan
Q318418	city in Flemish Brabant, Belgium
Q318455	opera by Giuseppe Verdi
Q319136	association football club in Scotland
Q319642	American multinational energy corporation
Q319654	airport in Queens, New York City
Q319979	State of South Sudan
Q320934	city in Fukuoka prefecture, Japan
Q321074	town in Slovakia
Q322132	India's highest civilian award
Q324154	association football league
Q324523	National Football League franchise in Las Vegas, Nevada
Q324812	largest island in the Bristol Channel
Q326334	Peer-reviewed Scientific Journal
Q326354	municipality of Brazil
Q327012	city in Penobscot County, Maine, USA
Q327168	town and civil parish in Norfolk, United Kingdom
Q327172	Argentine football club
Q327696	diocese of the Catholic Church in the Philippines
Q328295	national association football team
Q328313	American soccer team from Houston, Texas
Q328596	city in Gunma Prefecture, Japan
Q328610	city in Nara Prefecture, Japan
Q329316	1985 American animated dark fantasy adventure film produced by Walt Disney Feature Animation
Q329471	association football club in Ostrava, Czech Republic
Q329812	association football club that plays in Kansas City, Kansas, USA
Q329816	baseball team and Major League Baseball franchise in Arlington, Texas, United States
Q329833	town in Silesia, southern Poland
Q329877	cycling race
Q329894	municipality in Innlandet, Norway
Q330409	municipality in the Czech Republic
Q330643	city
Q331347	battle
Q332543	1798 battle during the French invasion of Egypt
Q332661	association football team in Colombia
Q332702	association football club
Q332863	association football club
Q332980	Spanish airline
Q333466	city in Namur, Belgium
Q333705	Israeli research university in Haifa
Q333838	Association football club in France
Q333886	private university in Washington, D.C., United States
Q333906	municipal museum of the city of Rome, Italy
Q333946	glacier located in the eastern Karakoram range in the Himalayas
Q334046	raster graphics editor
Q334410	Serbian political party
Q334634	baseball team and Major League Baseball franchise in Los Angeles, California, United States
Q334661	series or any of several permissive free software licenses originating at the Massachusetts Institute of Technology
Q335135	Capital of the Colombian department of Cauca
Q335929	video game
Q337188	chemical compound
Q337234	pan-European academy
Q337377	professional American football team based in the Los Angeles metropolitan area
Q339237	flag-carrier airline of French Polynesia
Q339291	1911 Xinhai Revolution
Q341056	town in the Czech Republic
Q342043	independent city in Virginia, United States
Q342428	independent city in Virginia, United States
Q349086	Margrave of Austria
Q351514	region of Cameroon
Q351971	college in Alamosa, Colorado, United States
Q355771	land based branch of the Indian Armed Forces
Q367523	national holiday celebrating the arrival in and subsequent colonization of the Americas by Christopher Columbus
Q369096	open-source Smalltalk environment
Q369947	city in California, United States of America
Q370184	association football league
Q370185	American television drama series
Q371748	municipality of Spain
Q371906	bridge in London, England
Q372454	city in California
Q373096	2010 animated film directed by Dean DeBlois and Chris Sanders
Q373429	currency of the three Yugoslav states between 1918 and 2003
Q373720	municipality and city in Portugal
Q374069	association football club
Q374152	unicameral parliament of Lithuania
Q374365	City in Saudi Arabia
Q374740	national airline of Egypt
Q374794	municipality in Gotland County, Sweden
Q375314	town and civil parish in Kent, England
Q375526	second season of Ghost in the Shell: Stand Alone Complex
Q376243	Scottish chemist and Nobel Laureate in 2016 for the design and synthesis of molecular machines
Q376635	association football club in Waregem, Belgium
Q377834	city in Hungary
Q377975	city in Queensland, Australia
Q378225	city in Yamaguchi Prefecture, Japan
Q381508	Mexican regional airline
Q381733	city and municipality in the state of Minas Gerais, Brazil
Q381779	airline from Ukraine
Q383358	association football club
Q383434	City in Ontario, Canada
Q383718	Mexican political party
Q384995	railway line in Tokyo, Japan
Q385248	city in Fukuoka Prefecture, Japan
Q386026	town in the Czech Republic
Q386841	diocese of the Catholic Church
Q387006	Hungarian political party
Q388232	women's national association football team representing Japan
Q388319	2002 American science fiction film directed by Stuart Baird
Q388746	association football club
Q388858	Major League Baseball franchise in Denver, Colorado, United States
Q389416	mountain pass
Q389944	region of Niger
Q390583	city in British Columbia, Canada
Q390788	city in Tokyo, Japan
Q392284	association football club
Q393592	town in Jablonec nad Nisou country in Liberec district
Q394474	association football club
Q396170	Political party in Russia
Q399798	HIghest court of the state of Israel
Q406643	Malaysian low-cost airline
Q406972	indoor arena in Toronto, Canada
Q406992	regional airline in Guadeloupe, France
Q407191	United States Air Force major command responsible for the federal air reserve component
Q407218	association football club
Q407292	flag carrier airline of Greenland
Q407329	chemical compound
Q407368	1954–1997 airline in France
Q407548	chemical compound
Q407927	organosulfur chemical compound used as a solvent
Q410228	chemical compound
Q410374	chemical compound
Q411895	technical university in Latvia
Q419392	city in Hiroshima Prefecture, Japan
Q422689	chemical compound
Q424700	district of Turkey
Q424943	Emirati association football club
Q425154	pharmaceutical drug
Q425599	association football club in the Czech Republic
Q425690	association football club
Q426868	prefecture-level city in Sichuan, China
Q427075	city located in Texas
Q428782	association football club
Q429078	political party in Spain
Q429864	city in the region of Tavastia Proper in Finland
Q430464	city in Michigan, USA
Q431381	meteorite impact crater in northern Arizona
Q432152	city in Butte County, California, United States
Q444128	West End theatre in London, England
Q449844	diocese of the Catholic Church
Q451661	city in Aichi Prefecture, Japan
Q452634	city in Kumamoto Prefecture, Japan
Q454398	2011 comedy movie directed by Raja Gosnell
Q454898	railway station in Kiel, Germany
Q455991	Israeli association football club located in Haifa
Q457334	city in New Brunswick, Canada
Q457869	Legislature of the Russian Federation
Q458393	collegiate public research university in Durham, England, United Kingdom
Q459447	siege, part of American Revolutionary War
Q459960	political party
Q461631	flag carrier airline of the Islamic Republic of Iran
Q462003	military decoration of the Soviet Union
Q462177	county seat of Westchester County, New York, United States
Q462184	county seat of Champaign County, Illinois, United States
Q463157	former American national airline
Q463527	United States independent agency
Q464865	US 1990s television series
Q465654	association of professional mathematicians
Q465697	United States association of physicians and medical students
Q466046	City in Morocco
Q466113	world's second largest organization of physicists
Q466423	2003 film by Jesse Dylan
Q467664	consolidated city-county in Montana, United States
Q467711	political party
Q469189	city in Miyagi Prefecture, Japan
Q471803	2004 video game
Q472675	city in Frederick County, Maryland, United States
Q473136	Scottish association football club based in Montrose
Q473209	city in British Columbia
Q474174	municipality in South Tyrol, Italy
Q474428	dormant Peruvian volcano
Q474605	town in Greater Manchester, England
Q474697	city and urban gmina of Poland
Q476871	novel by Jack London
Q477916	1989-1996 Japanese anime television series based on the Dragon Ball manga series
Q478180	political party in Denmark
Q478207	city in Morocco
Q478302	city in Queensland, Australia
Q478320	governing body of association football in Scotland
Q478371	1942 film by William Wyler
Q478675	city in Ecuador, capital of the Chimborazo Province
Q482472	2004 manga and anime series
Q482482	2009 music manga by Kakifly
Q482535	novel and anime
Q482551	Japanese light novel series
Q482607	South Korean broadcasting channel
Q482657	city in Cache County, Utah, United States
Q482751	university
Q482857	Japanese anime television series
Q482870	Japanese light novel series
Q483044	association football club
Q483103	Japanese light novel series
Q483120	2006 manga by Keiichi Arawi
Q484008	municipality in Vestland, Norway
Q484043	municipality in Nordland, Norway
Q484101	former municipality in Sogn og Fjordane, Norway
Q484106	former municipality in Trøndelag, Norway
Q484119	municipality in Trøndelag, Norway
Q484251	Japanese light novel series
Q484464	people based in the Korean Peninsula and Manchuria
Q485429	region of Kazakhstan
Q485634	public holiday in South Korea
Q486382	castle and museum in Rome
Q486439	city in Iowa
Q486487	operating system
Q486543	municipality of Germany in Lower Saxony
Q486570	municipality of Germany
Q487230	company
Q487559	defunct American-owned nationalist Chinese airline
Q488004	city in California, United States
Q488379	city in Kazakhstan, seat of North Kazakhstan Province
Q488776	municipality in Nordland, Norway
Q488962	municipality in Agder, Norway
Q489255	city in Iowa, United States of America
Q489356	former Japanese imperial university in Seoul
Q489806	municipality in Austria
Q489921	American multinational financial services corporation
Q490246	municipality in Nordland, Norway
Q490445	municipality of Germany
Q490670	seat of Rhein-Lahn-Kreis and town in Rhineland-Palatinate, Germany
Q490689	city in Germany
Q490724	city in Oregon, USA
Q490744	city in Alameda County, California, United States
Q491005	14,700 acres in St. Thomas, Virgin Islands (US) managed by the National Park Service
Q492475	municipality and city in Portugal
Q492753	association football competition in Andorra
Q493283	municipality in Møre og Romsdal, Norway
Q493296	former municipality in Møre og Romsdal, Norway
Q493327	Japanese light novel series
Q493811	former municipality in Sogn og Fjordane, Norway
Q494029	municipality in Møre og Romsdal, Norway
Q494045	former municipality in Rogaland, Norway
Q494059	municipality in Troms og Finnmark, Norway
Q494645	mountain
Q494688	former municipality in Trøndelag in Norway
Q494777	municipality of Spain
Q494895	supertall skyscraper in Seoul, South Korea
Q495347	state-operated university in Iran
Q495428	town in Baden-Württemberg federal country, Germany
Q495802	city in Aichi Prefecture, Japan
Q496479	city in Akita Prefecture, Japan
Q496506	city in Fukushima Prefecture, Japan
Q496531	company
Q496702	city in Aomori Prefecture, Japan
Q497488	university
Q498016	archdiocese located in the cities of Pondicherry and Cuddalore, India
Q498438	2013 American period spy thriller television series
Q498453	municipality in Värmland County, Sweden
Q498478	national sports team
Q498536	association football club
Q498596	town in Lower Saxony
Q498680	manned spacecraft
Q498992	Japanese light novel series
Q499029	registered political party in Finland
Q499047	city in Niigata Prefecture, Japan
Q499287	national association football team
Q499313	city in East Flanders, Belgium
Q499401	city in Macomb County, Michigan, United States
Q499410	municipality in Östergötland County, Sweden
Q499441	municipality in Västra Götaland County, Sweden
Q499719	former municipality in Sogn og Fjordane, Norway
Q499842	former municipality in Vest-Agder in Norway
Q500125	municipality in Västra Götaland County, Sweden
Q500227	municipality in Agder, Norway
Q500290	former municipality in Vestfold in Norway
Q501345	county in Maryland, United States
Q501463	municipality in Västerbotten County, Sweden
Q501470	municipality in Västra Götaland County, Sweden
Q501758	public research university in Gainesville, Florida, United States
Q502188	province in Costa Rica
Q502196	city in Nara Prefecture, Japan
Q502199	city in Kanagawa prefecture, Japan
Q502662	municipality of Germany
Q502710	municipality of Germany
Q502714	municipality of Germany
Q502758	municipality of Germany
Q502971	town in Germany
Q503030	municipality in Bavaria, Germany
Q503094	municipality (concejo) in Asturias, Spain
Q503188	municipality in Västra Götaland County, Sweden
Q503193	municipality in Västra Götaland County, Sweden
Q503209	municipality in Dalarna County, Sweden
Q503224	secret service
Q503364	airport in Bangalore, Karnataka, India
Q503387	UNESCO World Heritage Site in Ruse Province, Bulgaria
Q503477	skyscraper in Canary Wharf, London
Q503660	municipality in Trøndelag, Norway
Q503852	city in the state of Paraná, Brazil
Q503923	state in Nigeria
Q504019	town in Bavaria, Germany
Q504125	municipality in the Capital Region of Denmark
Q504235	municipality in Kronoberg County, Sweden
Q504244	municipality in Dalarna County, Sweden
Q504465	municipality in Uppsala County, Sweden
Q504513	municipality of Germany
Q504526	municipality of Germany
Q504587	large city in the Brazilian state of São Paulo
Q504648	municipality in Landkreis Neumarkt in der Oberpfalz in Germany
Q504689	municipality in Jönköping County, Sweden
Q504692	municipality in Halland County, Sweden
Q504774	town in Bavaria, Germany
Q504817	municipality in Vestland, Norway
