C0979237	oxytetracycline_125_mg_oral_capsule
C1524857	C1524857
C3259928	C3259928
C2360733	C2360733
C0039866	thigh
C3487390	C3487390
C2701364	black_willow_pollen_extract
C1185796	C1185796
C3810001	C3810001
C2978562	procomycin_500_unt_gm___4_____3.5_mg_gm___10_000_unt_gm_topical_cream
C0872872	benzalkonium_chloride_0.13___topical_spray
C4070316	C4070316
C1149286	C1149286
C0934023	C0934023
C0819840	C0819840
C0225000	structure_of_interspinous_ligament
C0040748	transplanted_skin
C0447815	intercuneiform_joint
C1417387	msx1_gene
C3504549	ondansetron
C1514242	immunophenotypic_finding
C1834703	hmn7a
C0229327	structure_of_posterior_auricular_ligament
C0226044	structure_of_distal_portion_of_right_coronary_artery
C0800126	C0800126
C0033743	protriptyline
C0543448	magnesium_aspartate
C0976856	famotidine
C3205075	triclocarban_0.1___medicated_bar_soap
C0798171	C0798171
C1656676	palmarosa_oil
C1977152	C1977152
C2361801	C2361801
C3219645	mometasone_inhalant_product
C0224617	midcarpal_joint_structure
C1879946	cdisc_sdtm_submission_domain_abbreviation_terminology
C3273603	camp_dependent_protein_kinase_type_i_alpha_regulatory_subunit
C2726285	alpha_tocopherol_30_unt___vit_c_30_mg___docosahexaenoic_acid_250_mg___eicosapentaenoic_acid_0.625_mg___ferrous_fumarate_83_mg___folate_1_mg___vit_b6_25_mg___tricalcium_phosphate_100_mg_oral_capsule
C0882493	C0882493
C2949458	camphor_5_____menthol_3.4___medicated_patch
C1857100	dyssegmental_dysplasia_silverman_handmaker_type
C0947117	C0947117
C0280315	posterior_tongue_squamous_cell_carcinoma
C0228035	structure_of_lobule_of_epididymis
C1261084	common_iliac_artery_structure
C3870165	C3870165
C0043431	ytterbium
C2316497	bupropion_hydrobromide
C0751675	cerebral_primitive_neuroectodermal_tumor
C0449416	source
C0001627	adrenal_hyperplasia_congen
C0976445	diphenidol_25_mg_oral_tablet
C2607839	C2607839
C0003466	anal_atresia
C3485660	C3485660
C0881822	C0881822
C3473238	dexchlorpheniramine_maleate_1_mg___dextromethorphan_hbr_15_mg___pseudoephedrine_hcl_30_mg_in_5_ml_oral_solution
C1336100	stage_0a_carcinoma_of_the_renal_pelvis
C2675014	mullerian_aplasia_and_hyperandrogenism
C2735368	C2735368
C1707154	csnk2a1_wt_allele
C0943551	C0943551
C0941857	C0941857
C0280192	C0280192
C0361079	insulin_isophane__human_50_unt_ml___insulin__regular__human_50_unt_ml_injectable_suspension__humulin_
C0503570	C0503570
C0882087	C0882087
C0020305	fetal_edema
C0229025	structure_of_pelvic_splanchnic_nerve
C0507129	C0507129
C4074089	C4074089
C1333963	carcinoid_tumour_of_the_liver
C1449791	intracellular_signaling_peptides_and_proteins
C0278694	metastatic_neuroblastoma
C3892737	C3892737
C0484590	C0484590
C3848297	C3848297
C0689472	mephobarbital_100_mg_oral_tablet
C0930622	C0930622
C0694382	eptifibatide
C1838657	vddr1b
C0692785	trandolapril
C4070729	C4070729
C0078077	vasopressin_recept
C1517383	gain_of_chromosome_12p
C3505558	C3505558
C1332230	aleukemic_acute_lymphoblastic_leukemia
C0836379	C0836379
C3818176	C3818176
C0229795	structure_of_superior_rectal_lymph_node
C4073908	C4073908
C1839112	widow_s_peak_syndrome
C0003236	antibiotics_antineopl
C0482409	C0482409
C3169783	C3169783
C1706912	barrier
C0980038	ropinirole
C2724498	amlodipine_telmisartan
C1306856	familial_megaloblastic_anemia
C0974593	ascorbic_acid
C0822663	C0822663
C0134337	oxatomide
C4033263	C4033263
C2920039	codeine
C1512115	egf_like_domain
C1524815	C1524815
C0817710	C0817710
C4069466	C4069466
C0008643	human_chromosome
C1645333	C1645333
C2597968	C2597968
C0881898	C0881898
C0752063	peroxisome
C3172862	C3172862
C0817366	C0817366
C0040106	thymosin
C1184729	C1184729
C1511662	dna_binding_domain
C3282849	polyacrylamide__10000_mw_
C1160401	skeletal_development
C4056132	C4056132
C1543788	C1543788
C3853753	testosterone
C1339482	acetaminophen_500_mg___caffeine_65_mg_oral_capsule
C0735470	C0735470
C0026821	cramp
C0705407	acetaminophen_167_mg___dextromethorphan_hbr_5_mg___doxylamine_succinate_1.25_mg___pseudoephedrine_hcl_10_mg_per_5_ml_oral_solution
C0920849	C0920849
C0693766	ivermectin_6_mg_oral_tablet
C4046421	C4046421
C0984281	caffeine_32_mg
C0014869	peptic_esophagitis
C1184763	C1184763
C0020818	iduronidase
C0941353	C0941353
C0367511	C0367511
C0223538	structure_of_arch_of_fourth_lumbar_vertebra
C0735424	C0735424
C0692376	zinc_oxide
C1301361	post_transplant_lymphoproliferative_disorder__polymorphic
C1180501	C1180501
C3538500	dermasav__calamine_1_____zinc_oxide_18_____topical_cream
C0015422	eyelashes
C0724614	levometamfetamine
C3497896	C3497896
C2726182	mung_bean_allergenic_extract
C1332040	aids_related_cervical_carcinoma
C0735703	C0735703
C0944878	C0944878
C4037728	C4037728
C1952903	C1952903
C2977966	C2977966
C2949576	hyoscyamine_sulfate_0.03_mg
C0092801	cladribine
C0022350	dubin_johnson_syndrome
C3207968	amylase___lipase___protease_oral_product
C1332311	antoni_b_pattern
C3175572	C3175572
C0226609	structure_of_vein_of_the_medulla_oblongata
C0023899	liver_extract
C0699524	betadine
C2948854	C2948854
C3644569	C3644569
C3848529	nitrite
C3857814	C3857814
C1524309	C1524309
C3249724	C3249724
C2746039	ribonucleotide_reductase_inhibitor
C1509464	peg_40_castor_oil
C1624118	C1624118
C1518069	lymphoepithelial_lesion
C0013018	donor
C3667556	C3667556
C0026936	mycoplasma_infection
C3645057	C3645057
C0432194	schneckenbecken_dysplasia
C2708551	C2708551
C2734785	C2734785
C0345961	epithelioid_hemangioendothelioma_of_lung
C2599400	C2599400
C0167954	i_kappa_b
C3654724	C3654724
C3854260	C3854260
C0025625	methapyrilene
C3488771	C3488771
C0974667	C0974667
C1882059	neoplastic_sex_cord_stromal_cell_resembling_steroid_hormone_secreting_cell
C1332916	cervical_intraspinal_meningioma
C1157380	phosphatidylcholine_biosynthesis
C0008651	chromosome_1
C3484593	claviceps_purpurea_sclerotium
C0507806	C0507806
C0222903	bone_structure_of_seventh_rib
C0484468	C0484468
C0974291	ammonia
C3888170	hepatitis_b_immune_globulin
C0031935	pimozide
C3859533	C3859533
C0804472	C0804472
C0223643	structure_of_acromial_end_of_clavicle
C3853762	articaine_epinephrine
C0057916	dienogest
C1280477	progress
C0054302	butylparaben
C1856198	hall_riggs_mental_retardation_syndrome
C0226412	structure_of_ureteral_branch_of_ovarian_artery
C4059748	C4059748
C0041165	troleandomycin
C0978638	miconazole
C2970304	C2970304
C3527606	C3527606
C4074120	C4074120
C2984389	ephrin_b_forward_signaling_pathway
C2948386	C2948386
C0039373	tay_sachs_dis
C2360218	C2360218
C0023795	lipid_proteinosis
C4037893	C4037893
C0456930	interatrial_groove
C0824674	C0824674
C1717311	C1717311
C0977581	hydrocortisone_0.5___topical_spray
C0363671	C0363671
C0226875	lower_gi_tract
C0029300	orotic_acid
C4018082	C4018082
C1705822	transfer_technique
C1329317	propranolol
C0735410	C0735410
C0978017	C0978017
C1876891	drospirenone_ethinyl_estradiol
C0823548	C0823548
C2940258	triclosan_0.15___medicated_liquid_soap
C3484802	kadian_150_mg_extended_release_oral_capsule
C0770137	terazosin_hydrochloride
C0977516	hydrochlorothiazide_quinapril
C1439729	C1439729
C0880941	C0880941
C3830916	c_ssrs_already_enrolled_subjects_questionnaire_question
C3211997	phenylbutazone_oral_product
C0043539	zygoma
C3504564	C3504564
C1182538	C1182538
C0393559	troyer_syndrome
C1179433	C1179433
C0979187	oxtriphylline_20_mg_ml_oral_solution
C3255720	sodium_lauroamphoacetate
C3171892	C3171892
C2701271	tobacco_leaf_allergenic_extract
C1336237	ovarian_cancer_stage_iiic
C1266166	central_osteosarcoma
C2599933	C2599933
C0815978	C0815978
C1335354	parotid_gland_adenocarcinoma
C2598312	C2598312
C1830292	C1830292
C0926405	C0926405
C3699752	C3699752
C1616715	chondroitin_sulfates___glucosamine___methylsulfonylmethane_oral_tablet
C0349561	bartholin_s_gland_carcinoma
C0034067	emphysema
C3870136	C3870136
C1442171	chest_and_abdomen
C3152726	C3152726
C1183047	C1183047
C0221060	m_bius_sequence
C3272423	gastric_synovial_sarcoma
C0015306	multiple_exostosis
C0398738	lfa1_immunodeficiency
C4070242	C4070242
C1248153	theophylline_extended_release_oral_tablet
C0018920	cavernous_hemangioma
C0923732	C0923732
C0080125	ribozyme
C1332540	benign_testicular_sertoli_cell_tumor
C0983669	amoxicillin_50_mg_ml
C3504666	C3504666
C1333944	C1333944
C3694531	C3694531
C0718030	pseudoephedrine___triprolidine
C1953075	C1953075
C1517897	lipid_metabolism_and_toxicity_pathway
C0459348	branch_of_lumbar_plexus
C1147598	C1147598
C1114130	C1114130
C0977109	gentamicin_sodium_chloride
C0976723	erythromycin_sulfisoxazole
C3714500	somatropin
C1518872	pancreatic_mucinous_cystic_neoplasm
C2708295	C2708295
C3833181	C3833181
C3259266	C3259266
C4046626	C4046626
C2587203	C2587203
C3255500	C3255500
C4050877	zinc_pyrithione_1.05___medicated_shampoo
C3271707	C3271707
C0712079	docusate
C1836133	muscular_dystrophy__congenital__merosin_positive
C1367342	tert_gene
C0226662	structure_of_anterior_cardiac_vein
C2360419	C2360419
C0881597	C0881597
C4018647	C4018647
C0505938	C0505938
C0773182	zinc_sulfate
C0501816	C0501816
C0880097	C0880097
C0553523	C0553523
C0025584	metatarsal
C0079017	benzodiones
C1369821	C1369821
C3692612	C3692612
C0854765	oesophageal_adenocarcinoma_stage_i
C0810147	C0810147
C3699052	C3699052
C2826785	cdisc_variable_terminology
C0819932	C0819932
C0801388	C0801388
C1875540	nitrogen___oxygen
C0922959	C0922959
C0933649	C0933649
C0225022	structure_of_intraarticular_sternocostal_ligament
C1573230	C1573230
C3699490	C3699490
C0800124	C0800124
C3210306	diazepam_pill
C3281128	C3281128
C0018021	goiter
C2599431	C2599431
C0162833	cd45r0_antigens
C2987239	pancreatic_large_cell_neuroendocrine_carcinoma
C2984376	downstream_signaling_pathway_in_naive_cd8__t_cells
C0250480	piperacillin_tazobactam
C0280419	recurrent_sinonasal_squamous_cell_carcinoma
C4026878	insulin_isophane_injectable_product
C0482745	C0482745
C0881876	C0881876
C1147544	C1147544
C1710535	undifferentiated_stromal_sarcoma
C0922826	C0922826
C0002059	alkaline_phosphatase
C3810265	C3810265
C0027342	nail
C4080442	C4080442
C4037121	C4037121
C0819200	C0819200
C2986564	anterior_pituitary_gland_endocrine_neoplasm
C3154060	breath_away_0.07___oral_rinse
C2719424	abobotulinumtoxina
C1815866	sanguinaria_canadensis_root_extract
C3486550	turnera_diffusa_leafy_twig_extract
C0826678	C0826678
C0457146	anterior_interatrial_preferential_pathway
C0735456	structure_of_lymphatic_vessel_of_liver
C0994819	C0994819
C3643269	C3643269
C2756728	lidocaine_hydrochloride_anhydrous
C3692559	C3692559
C3698710	C3698710
C1877560	clinimix_5_25_injectable_solution
C0229822	obturator_lymph_node_group
C1515305	testicular_yolk_sac_tumor__glandular_alveolar_pattern
C0079758	mixed_lymphoma_follic
C3666729	C3666729
C0027061	myocardia
C3151513	C3151513
C0794827	triclosan_0.3___topical_cream
C4036737	C4036737
C1342513	chloroxylenol_1___medicated_liquid_soap
C4037651	C4037651
C1867450	incomplete_pseudoxanthoma_elasticum
C3855062	C3855062
C0059985	fludarabine
C2698764	perampanel
C0821316	C0821316
C2946116	chlorpheniramine_maleate_0.2_mg_ml
C0007820	brain_vascular_dis
C0011429	dentin
C0431890	thumb_hypoplastic
C0280350	stage_ii_oral_cavity_verrucous_carcinoma
C0224803	structure_of_subtendinous_bursa_of_triceps_brachii_muscle
C1716182	C1716182
C0981430	fludrocortisone
C1517412	gain_of_chromosome_5p
C0806140	flow
C0022947	lactone
C0279543	leukemia_phila_pos
C3249738	C3249738
C3699039	C3699039
C0014704	ergonovine
C0153789	hodgkin_s_disease_of_lymph_nodes_of_inguinal_region_and_or_lower_limb
C3669192	C3669192
C0700523	amitriptyline_hydrochloride
C0347197	oral_neoplasm_benign
C0502008	C0502008
C1544741	C1544741
C1333120	C1333120
C0500592	C0500592
C3154639	C3154639
C0881825	C0881825
C1704256	tgf_beta1
C0729769	upper_limb_lymph_node_structure
C2700670	lamictal_50_mg_24_hr_extended_release_oral_tablet
C3692744	12_hr_zohydro_15_mg_extended_release_oral_capsule
C0688673	doxepin
C0920350	autoimmune_thyroiditis
C3859824	C3859824
C2918778	C2918778
C0243043	heat_shock_protein_70
C1177125	hydrogen_peroxide
C3808692	C3808692
C3832772	C3832772
C0026879	mutagen
C0442123	intravascular
C0504611	C0504611
C3146259	stage_iv_nasopharyngeal_carcinoma_ajcc_v7
C1244662	acetaminophen___hydrocodone_oral_tablet
C4014354	C4014354
C1285572	phenotype_determination
C0936192	bupivacaine_hcl_0.5___injectable_solution
C1334809	mucinous_stomach_adenocarcinoma
C3842448	C3842448
C0935049	C0935049
C2598382	C2598382
C0738270	C0738270
C1335694	recurrent_bone_ewing_sarcoma
C0224307	structure_of_longissimus_thoracis_muscle
C0546892	ensure
C0226783	structure_of_vein_of_the_bulb_of_the_penis
C3864511	C3864511
C2926218	C2926218
C0995188	cetuximab
C1717098	C1717098
C1693735	enjuvia_0.625_mg_oral_tablet
C4048926	1_ml_ms_8_mg_ml_cartridge
C0017534	giardia
C1563732	dendrons
C2723170	codeine_phosphate_1_mg_ml___guaifenesin_20_mg_ml___pseudoephedrine_hydrochloride_4_mg_ml_oral_suspension__zodryl_dec_
C0268228	neu1_deficiency
C3870029	C3870029
C0350245	dextrothyroxine_2_mg_oral_tablet
C3663751	C3663751
C0933350	C0933350
C3663049	C3663049
C3887719	nitrofurantoin
C1332354	auer_rods_present
C2598235	C2598235
C0206178	cytomegaloviral_retinitis
C0224516	plane_suture_structure
C2926176	C2926176
C3464995	C3464995
C0046103	2_ethylidene_1_5_dimethyl_3_3_diphenylpyrrolidine
C0482478	C0482478
C3259709	C3259709
C0835811	C0835811
C3212961	guaifenesin___hydrocodone_oral_liquid_product
C1332829	cyp2c9
C0226708	structure_of_left_hepatic_vein
C3495636	heparin_sodium__bovine_5000_unt_ml_injectable_solution
C0441763	stage_0
C0980655	thiopental_5_mg_ml_injectable_solution
C0069805	oxybutynin
C1334677	mediastinal_rhabdomyosarcoma
C0982219	lente_human_insulin
C1523194	C1523194
C0923178	C0923178
C1179162	paranasal_sinus_epithelium
C3533693	C3533693
C3864512	C3864512
C0678889	immunoregulation
C1953465	C1953465
C3210390	aluminum_hydroxide___magnesium_trisilicate_pill
C0928031	C0928031
C1544548	C1544548
C3538501	benzoyl_peroxide_2.5___medicated_liquid_soap__240_ml____salicylic_acid_2___topical_solution__120_ml____sulfur_5___topical_solution__60_ml__pack
C2599316	C2599316
C3208797	arginine_oral_product
C3654784	C3654784
C0819172	C0819172
C0024297	lymphokine
C1315104	C1315104
C3824431	C3824431
C2709200	C2709200
C3281160	C3281160
C1335749	C1335749
C2979499	sombra_warm_therapy_3_____3___topical_gel
C1507845	C1507845
C1372703	C1372703
C0688977	glycopyrrolate
C0503932	C0503932
C1948915	sodium_chloride
C2348664	C2348664
C0876964	cardiac_therapeutic_procedure
C3818674	C3818674
C0828913	C0828913
C4033658	streptococcus_pneumoniae_type_1_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_10a_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_11a_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_12f_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_14_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_15b_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_17f_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_18c_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_19a_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_19f_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_2_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_20_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_22f_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_23f_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_3_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_33f_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_4_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_5_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_6b_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_7f_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_8_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_9n_capsular_polysaccharide_antigen_0.05_mg_ml___streptococcus_pneumoniae_type_9v_capsular_polysaccharide_antigen_0.05_mg_ml_injection__pneumovax_23_
C0674428	efavirenz
C0027754	neurotrophin
C0039865	thiethylperazine
C1714653	C1714653
C0042133	uterine_leiomyoma
C3892796	C3892796
C0032066	plague_vaccine
C0923707	C0923707
C1184376	C1184376
C0981657	procainamide_hcl_250_mg_oral_tablet
C3207940	activated_charcoal_pill
C4046621	C4046621
C3465309	brompheniramine_maleate_6_mg
C0488712	C0488712
C3465346	C3465346
C1524062	additional
C1544270	C1544270
C3854953	C3854953
C0881711	C0881711
C1332943	childhood_anaplastic_oligodendroglioma
C1511190	inverted_papilloma_of_urinary_bladder
C1953001	C1953001
C0073372	rifapentine
C2826070	povidone_k25
C0979318	penbutolol_sulfate_20_mg_oral_tablet
C3810194	C3810194
C0506944	C0506944
C2718428	C2718428
C3833000	C3833000
C3210080	aluminum_hydroxide___magnesium_hydroxide___simethicone_oral_product
C0222728	greater_sphenoid_wing
C3495441	motor_strip
C1627389	C1627389
C0019537	hpns
C1512992	marginal_zone_b_lymphocyte
C3818101	C3818101
C0229315	ear_lobule_structure
C0822114	C0822114
C1147237	C1147237
C3651587	C3651587
C0146224	topotecan
C2366152	benzoyl_peroxide
C3857921	C3857921
C1163190	flurandrenolide
C0708078	advil_100_mg_oral_tablet
C3205641	witch_hazel_0.1___medicated_bar_soap
C0875901	betaxolol
C0230312	structure_of_mesosalpinx
C3857809	dynashield_1.8___topical_ointment
C3535485	sensodyne_pronamel_0.5_mg_ml_mouthwash
C1819317	C1819317
C0709733	12_hr_cardizem_60_mg_extended_release_oral_capsule
C0881472	C0881472
C2966780	C2966780
C3495685	allerclear_d_10_mg___240_mg_24hr_extended_release_oral_tablet
C1543928	C1543928
C1333386	endobronchial_leiomyoma
C3483107	C3483107
C0874618	bupropion
C1875559	C1875559
C1333401	C1333401
C3654546	C3654546
C2739479	C2739479
C0244104	pyruvate
C0687776	acetic_acid
C1335153	carcinoid_tumour_of_the_ovary
C1830822	C1830822
C1257945	f_box_protein
C0027708	nephroblastoma
C1509279	cetirizine
C1333467	squamous_cell_papilloma_of_esophagus
C0074445	shellac
C0724633	metoprolol_cr_xl
C0006456	buserelin
C0027404	narcolepsy
C0855154	primary_mediastinal_large_b_cell_lymphoma_refractory
C0800116	C0800116
C0928075	ear_pinna
C2365671	capsaicin_0.025_____menthol_5___medicated_patch
C0929119	C0929119
C0798391	C0798391
C0226213	structure_of_right_middle_cerebral_artery
C3891449	C3891449
C0006611	mucin_1
C1516046	apoptotic_pathway_deregulation
C2242157	poliovirus_vaccine_inactivated__type_1__mahoney__80_unt_ml
C0689950	phendimetrazine
C3855176	C3855176
C0265248	ruvalcaba_syndrome
C1332911	adenoid_cystic_carcinoma_of_cervix_uteri
C0935603	structure_of_left_thumb
C1336008	small_intestinal_small_cell_neuroendocrine_carcinoma
C1147341	C1147341
C4037683	C4037683
C1514839	renal_cell_carcinoma_associated_with_t_x_1__p11.2_q21_
C3192846	C3192846
C1184160	C1184160
C1184078	C1184078
C0923054	C0923054
C1567772	bmp2_protein__human
C1161848	triamcinolone_diacetate_25_mg_ml_injectable_suspension
C0055152	1_hexadecanol
C0737602	C0737602
C0793989	pantoprazole
C1335043	non_neoplastic_soft_tissue_disorder
C0705987	lamivudine
C0039337	taste_bud
C1705050	stat5a_wt_allele
C0709454	psorcon_0.05___topical_cream
C2978150	pedia_lax_liquid_3.33_mg_ml_oral_solution
C3486389	lycosa_tarantula_preparation
C0979097	octreotide
C1177305	albuterol
C1180826	C1180826
C1147328	C1147328
C0028067	niflumic_acid
C0224622	carpometacarpal_joint_structure_of_thumb
C2701206	western_ragweed_pollen_extract
C0222225	skin_structure_of_dorsal_area_of_hand
C3533686	C3533686
C0503986	C0503986
C0924804	C0924804
C0485778	C0485778
C3193024	C3193024
C0735706	C0735706
C0062941	homoharringtonine
C0376261	lactate
C0804730	C0804730
C1967795	C1967795
C1721288	sevelamer_carbonate
C1724059	oxymorphone
C2926261	C2926261
C1524130	C1524130
C4015130	C4015130
C1315470	C1315470
C0334344	hidradenocarcinoma
C1572473	C1572473
C1632345	C1632345
C3174563	C3174563
C1709551	pituitary_gland_macroadenoma
C0981379	clobetasol_propionate_0.05___topical_foam
C0035327	retinal_vein
C0220892	C0220892
C3486762	lomatium_dissectum_root_extract
C0347073	carcinoma_in_situ_of_mouth
C3855232	pneumococcal_vaccine
C3817615	C3817615
C3219441	estradiol_injectable_product
C1862177	dmsmfh
C0549681	C0549681
C1850155	torg_syndrome
C3818174	C3818174
C3528206	C3528206
C1185372	branch_of_vertebral_artery
C3833173	C3833173
C1545179	C1545179
C3809910	C3809910
C3552335	congenital_myasthenic_syndrome_12
C2984897	benign_adrenal_gland_composite_pheochromocytoma
C0854980	large_cell_lung_cancer_stage_ii
C0020557	hypertriglyceridemia
C0941661	C0941661
C3212213	dexchlorpheniramine___pseudoephedrine_oral_product
C0085201	apolipoprotein_a_i
C1336907	C1336907
C0487912	C0487912
C4036716	C4036716
C0226182	structure_of_anterior_conjunctival_artery
C0086835	posterior_tibial_artery
C0976982	fluoxetine
C3710064	C3710064
C3832773	C3832773
C0552343	C0552343
C0060120	c.i._15_985
C0029878	otitis_externa
C1183202	C1183202
C0810264	C0810264
C1329805	24_hr_cardizem_360_mg_extended_release_oral_tablet
C1519004	peripheral__post_thymic__t_lymphocyte
C0976093	demeclocycline
C0689942	perphenazine
C3700787	C3700787
C4069765	C4069765
C0459952	bone_structure_of_t3
C3463917	C3463917
C0162526	opportunistic_infect_hiv_relat
C0975056	brompheniramine_maleate_10_mg_ml_injectable_solution
C0690699	urea
C1181052	thyrocyte
C1522104	spindle_melanoma_cell
C1724081	opana_40_mg_12_hr_extended_release_oral_tablet
C1114641	C1114641
C0085133	reed_sternberg_cell
C2962798	C2962798
C1653278	acetaminophen_325_mg___butalbital_50_mg___caffeine_40_mg_per_15_ml_syrup
C1837915	polycythemia__chuvash_type
C2983708	rectosigmoid_cancer_by_ajcc_v6_stage
C2918808	C2918808
C0980240	sodium_chloride_nasal_solution
C0002615	sal_ammoniac
C0688173	cefprozil
C0734188	C0734188
C0229218	structure_of_ganglion_cell_layer_of_retina
C4070572	C4070572
C1694337	acetaminophen_hydrocodone
C0978409	menthol_3.6_mg_oral_lozenge
C1815884	dextrose_lactated_ringer_s_potassium_chloride
C3482900	C3482900
C0819848	C0819848
C3219308	flunisolide_inhalant_product
C0206131	adipocyte
C0981354	basis
C2701419	shagbark_hickory_pollen_extract
C2361955	C2361955
C0010404	cryoglobulin
C0833240	C0833240
C0803010	C0803010
C0700451	doxycycline_monohydrate
C1706830	lipoma_of_appendix
C1114070	C1114070
C3655168	C3655168
C0810226	C0810226
C3481509	C3481509
C3693066	C3693066
C3642961	C3642961
C0925974	C0925974
C0979975	C0979975
C4033324	C4033324
C1509253	c13_14_isoparaffin
C0448636	entire_peroneus_longus_muscle_tendon
C1332574	bone_angiosarcoma
C1416536	kal1
C0034665	ranitidine
C3700697	C3700697
C1851102	feom1
C1715673	C1715673
C0835712	C0835712
C0829186	C0829186
C0040899	trichlormethiazide
C2360232	C2360232
C1864436	muenke_syndrome
C0004954	belladonna_alkaloid
C0229552	structure_of_hilum_of_adrenal_gland
C0818636	C0818636
C1514199	ovarian_polyembryoma
C3645255	influenza
C2966841	C2966841
C3489028	C3489028
C0038404	enterococcus_faecalis
C3858012	coal_tar_0.8___topical_lotion
C0222011	C0222011
C0736373	C0736373
C3859409	C3859409
C0810065	C0810065
C1543518	C1543518
C0796093	odontoonychodermal_dysplasia
C0279740	low_grade_salivary_gland_mucoepidermoid_carcinoma
C3465377	oral_powder_product
C0829697	skin_structure_of_right_thumb
C1332342	asynchronous_multifocal_osteosarcoma
C4058452	C4058452
C1712056	nicardipine_hcl_60_mg_12hr_extended_release_oral_capsule
C0976825	etodolac
C1114449	C1114449
C0501101	C0501101
C2719907	amphetamine_resin_complex
C2973018	C2973018
C1155963	C1155963
C4033416	C4033416
C0482124	C0482124
C1544249	C1544249
C0980801	tretinoin
C1854678	lethal_multiple_pterygium_syndrome
C0776411	lincomycin
C1334697	meningioma_by_site
C0013421	dystonia
C3817919	C3817919
C1507457	C1507457
C0596846	lipid_transport
C4018615	C4018615
C1178084	phenylephrine
C3888231	heparin_sodium__porcine_5000_unt_in_1_ml_injection
C1512224	glycogen_rich__clear_cell_breast_carcinoma
C0085437	bact_meningitis
C1335547	protein_phosphatase_gene
C0876837	chromic_chloride_0.0513_mg_ml___copper_sulfate_3.93_mg_ml___manganese_sulfate_1.54_mg_ml___selenious_acid_0.098_mg_ml___znso4_22_mg_ml_injectable_solution__multitrace_5_
C0975821	codeine_guaifenesin
C0939806	german_chamomilla_extract
C2708798	C2708798
C0833081	C0833081
C0280424	adult_t_cell_lymphoma_leukaemia_stage_ii
C0036579	selegiline
C0006663	calcinosis
C1152071	C1152071
C0922714	C0922714
C0038999	swelling
C2241021	tekturna_hct_300_mg___12.5_mg_oral_tablet
C1842914	adult_onset_foveomacular_dystrophy
C3487999	C3487999
C2706828	C2706828
C1248743	morphine_extended_release_oral_capsule
C2598378	C2598378
C3259643	C3259643
C1830204	C1830204
C0005014	benserazide
C0069021	cathine
C0221988	structure_of_hair_of_pubis
C3668852	C3668852
C0024658	maltose
C0102840	alcl3
C0447877	sacroiliac_ligament
C2953369	C2953369
C0363662	C0363662
C0820520	C0820520
C3488767	C3488767
C2741400	C2741400
C0923211	C0923211
C0029921	outpatient
C0008845	citalopram
C1333970	hepatic_lipoma
C1841679	hand_foot_genital_syndrome
C0482689	C0482689
C0978178	C0978178
C3261420	C3261420
C2721809	azelastine
C0890177	linalool_______
C3483073	C3483073
C4048440	levofloxacin
C3208775	alanine___arginine___calcium_acetate___cysteine___glycerin___glycine___histidine___isoleucine___leucine___lysine___magnesium_acetate___methionine___phenylalanine___phosphoric_acid___potassium_chloride___proline___serine___sodium_acetate___sodium_chloride___threonine___tryptophan___valine_injectable_product
C0278984	non_small_cell_lung_cancer_stage_iiib
C2735903	C2735903
C2746868	avar_ls__sulfacetamide_sodium_10_____sulfur_2_____topical_cream
C2733623	bone_fibrosarcoma
C0206368	glaucoma_capsulare
C3262864	C3262864
C0029904	ouabain
C1334427	low_grade_penile_intraepithelial_neoplasia
C3466236	nitroglycerin_transdermal_product
C0804698	C0804698
C0488705	C0488705
C0980835	triflupromazine_50_mg_oral_tablet
C0797938	C0797938
C3666535	topiramate
C0037928	myelopathy
C3695547	sumavel_4_mg_in_0.5_ml_jet_injector
C1184504	C1184504
C0933615	C0933615
C3163593	C3163593
C3497836	C3497836
C0053289	benzyl_benzoate
